issue_id,timestamp,category,description,municipality,district,state,age_group,gender,origin,description_length,description_words,has_verkehr_keywords,has_bildung_keywords,has_umwelt_keywords,has_gesundheit_keywords,hour,day_of_week,day_of_month,week_of_year,month,quarter,is_weekend,is_business_hours,is_morning,is_afternoon
ISS_20250613033713_8524,2023-02-28 03:12:00,Migration,"Die Bearbeitungszeiten für Familienzusammenführungsanträge in unserem Rathaus sind viel zu lang. Meine Schwägerin wartet bereits seit acht Monaten auf eine Antwort, obwohl alle Unterlagen vollständig eingereicht wurden.",Marienheide,Gemeinde,Nordrhein-Westfalen,45-54,female,citizen,219,27,False,False,False,False,3,1,28,9,2,1,False,False,False,False
ISS_20250613033940_8695,2024-06-25 09:09:00,Gesundheit,Die Wartezeit für einen Facharzttermin beim Orthopäden hier in Schmallenberg beträgt über vier Monate. Als Berufstätige mit Rückenproblemen ist das unzumutbar - wir brauchen dringend mehr Fachärzte in der Region oder bessere Terminvergabe.,Schmallenberg,Stadt,Nordrhein-Westfalen,45-54,female,citizen,239,33,False,False,False,True,9,1,25,26,6,2,False,True,True,False
ISS_20250613033723_2652,2023-12-22 03:27:00,Sicherheit,"Die Straßenbeleuchtung in der Berliner Straße ist seit Wochen kaputt, nachts ist es dort stockdunkel. Als junger Mann fühle ich mich unsicher, wenn ich abends von der Arbeit nach Hause laufe - da könnte wirklich was passieren.",Baruth/Mark,Stadt,Brandenburg,18-24,male,citizen,226,37,True,False,False,False,3,4,22,51,12,4,False,False,False,False
ISS_20250613033802_5745,2023-07-12 11:42:00,Sicherheit,"Die Straßenbeleuchtung in der Kirchgasse ist seit drei Wochen kaputt und der Weg zur Bushaltestelle ist abends völlig dunkel. Als Frau fühle ich mich dort sehr unsicher, besonders wenn ich spät von der Arbeit komme.",Partenheim,Gemeinde,Rheinland-Pfalz,35-44,female,citizen,215,35,True,False,False,False,11,2,12,28,7,3,False,True,True,False
ISS_20250613033804_8383,2023-11-08 10:29:00,Digitalisierung,"Die Online-Terminbuchung für den Bürgerservice funktioniert seit Wochen nicht richtig - ständig Fehlermeldungen und dann sind alle Termine weg. Als berufstätiger Vater brauche ich dringend digitale Lösungen, die auch wirklich funktionieren.",Kumhausen,Gemeinde,Bayern,35-44,male,migrant_eu,240,31,False,False,False,False,10,2,8,45,11,4,False,True,True,False
ISS_20250613034158_2010,2023-11-01 05:42:00,Digitalisierung,Das Online-Portal der Stadtverwaltung ist seit Tagen nicht erreichbar und ich kann meinen Antrag für den neuen Personalausweis nicht stellen. Telefonisch erreiche ich auch niemanden - so kann moderne Verwaltung nicht funktionieren!,Blaubeuren,Stadt,Baden-Württemberg,35-44,male,citizen,231,32,False,False,False,False,5,2,1,44,11,4,False,False,False,False
ISS_20250613033740_7462,2024-05-02 04:36:00,Verkehr,Die Bushaltestelle am Bahnhof ist seit Wochen kaputt und bietet keinen Schutz vor Regen. Als Studentin bin ich täglich auf den Bus angewiesen und stehe bei jedem Wetter im Freien. Wann wird das endlich repariert?,Wolfhagen,Stadt,Hessen,18-24,female,citizen,212,35,True,False,False,False,4,3,2,18,5,2,False,False,False,False
ISS_20250613034040_7003,2024-09-02 15:43:00,Umwelt,"Der Wildbach hinter unserem Ortsteil führt seit Wochen braunes, übelriechendes Wasser. Meine Nachbarn und ich vermuten eine illegale Einleitung aus dem Gewerbegebiet. Bitte prüfen Sie das dringend, bevor noch mehr Schaden entsteht.",Bescheid,Gemeinde,Rheinland-Pfalz,45-54,female,citizen,231,32,False,False,False,False,15,0,2,36,9,3,False,True,False,True
ISS_20250613034043_5276,2024-02-09 16:41:00,Verkehr,"Die Durchfahrtsstraße durch Burtenbach wird von LKWs als Abkürzung genutzt, obwohl das Ortszentrum für den Schwerlastverkehr gesperrt ist. Die Fahrzeuge beschädigen die Straße und gefährden Fußgänger, besonders vor der Schule.",Burtenbach,Gemeinde,Bayern,55-64,female,citizen,226,30,True,True,False,False,16,4,9,6,2,1,False,True,False,True
ISS_20250613034117_1905,2024-09-02 20:36:00,Verkehr,"Die Bushaltestelle am Marktplatz hat keinen Wetterschutz und die Bank ist kaputt. Als Rentner muss ich oft 20 Minuten im Regen warten, weil der Bus nur alle Stunde fährt.",Schönwald,Stadt,Bayern,65+,male,migrant_eu,170,29,True,False,False,False,20,0,2,36,9,3,False,False,False,False
ISS_20250613034121_6873,2024-04-30 12:47:00,Gesundheit,Die Wartezeit beim örtlichen Hausarzt beträgt mittlerweile über drei Wochen für einen normalen Termin. Für berufstätige Menschen ist das untragbar - wir brauchen dringend mehr Ärzte in unserer Gemeinde oder längere Sprechzeiten.,Löwenberger Land,Gemeinde,Brandenburg,25-34,male,citizen,228,32,False,False,False,True,12,1,30,18,4,2,False,True,True,True
ISS_20250613033930_4661,2025-01-20 16:13:00,Bildung,"Die Turnhalle der Grundschule am Margaretenplatz ist seit drei Monaten wegen Wasserschäden gesperrt. Mein Sohn und seine Klasse müssen seitdem den Sportunterricht im viel zu kleinen Klassenraum machen, das kann doch nicht sein!",Geseke,Stadt,Nordrhein-Westfalen,45-54,male,citizen,227,33,False,True,False,False,16,0,20,4,1,1,False,True,False,True
ISS_20250613033645_7585,2024-12-29 09:26:00,Migration,"""Die Bearbeitung meines Antrags auf Familienzusammenführung dauert schon über sechs Monate ohne jede Rückmeldung. Ich brauche endlich eine Auskunft über den Stand des Verfahrens, da meine Familie weiterhin getrennt ist.""",Rankwitz,Gemeinde,Mecklenburg-Vorpommern,18-24,male,citizen,220,30,False,False,False,False,9,6,29,52,12,4,True,True,True,False
ISS_20250613033815_8676,2025-03-10 12:38:00,Wirtschaft,Die Gewerbesteuer für kleine Betriebe in Konradsreuth ist viel zu hoch im Vergleich zu den Nachbargemeinden. Dadurch wandern junge Unternehmer ab und es entstehen keine neuen Arbeitsplätze für uns hier vor Ort.,Konradsreuth,Gemeinde,Bayern,25-34,male,citizen,210,32,False,False,False,False,12,0,10,11,3,1,False,True,True,True
ISS_20250613034014_8857,2023-08-01 09:35:00,Sicherheit,"Die Beleuchtung am Fußweg entlang der Holtemme ist seit Wochen kaputt. Abends traue ich mich als Frau nicht mehr allein dort lang zu gehen, weil es viel zu dunkel ist und man nichts sieht.",Wernigerode,Stadt,Sachsen-Anhalt,45-54,female,citizen,188,34,False,False,False,False,9,1,1,31,8,3,False,True,True,False
ISS_20250613034235_9293,2023-04-15 10:24:00,Digitalisierung,"Das Online-Portal der Gemeinde ist ständig überlastet und funktioniert nicht richtig. Ich kann seit Wochen keinen Termin für die Ummeldung buchen, weil die Seite immer abstürzt - das ist wirklich frustrierend!",Oberuckersee,Gemeinde,Brandenburg,35-44,female,citizen,209,31,False,False,False,False,10,5,15,15,4,2,True,True,True,False
ISS_20250613033808_5814,2023-12-20 06:46:00,Verkehr,"Die Durchfahrtsstraße in Gamlen wird täglich von Lkw-Fahrern als Abkürzung genutzt, obwohl dort ein Durchfahrtsverbot herrscht. Der Schwerlastverkehr beschädigt die Fahrbahn und gefährdet Fußgänger, besonders Schulkinder am Morgen.",Gamlen,Gemeinde,Rheinland-Pfalz,45-54,male,citizen,231,28,True,False,False,False,6,2,20,51,12,4,False,False,True,False
ISS_20250613034205_3093,2024-12-05 10:05:00,Umwelt,Die Mülltrennung in unserem Wohngebiet an der Feldstraße funktioniert nicht richtig - die gelben Säcke werden seit Wochen nicht abgeholt und stapeln sich überall. Das lockt Ungeziefer an und sieht einfach furchtbar aus.,Dorsten,Stadt,Nordrhein-Westfalen,25-34,female,citizen,219,33,True,False,True,False,10,3,5,49,12,4,False,True,True,False
ISS_20250613033807_9486,2024-08-15 13:14:00,Bildung,"Die Turnhalle der Grundschule Adlkofen ist seit drei Monaten wegen Wasserschäden gesperrt, deshalb fällt der Sportunterricht komplett aus. Mein Sohn und seine Klassenkameraden haben dadurch schon ein Viertel des Schuljahres ohne Sport verbracht.",Adlkofen,Gemeinde,Bayern,35-44,male,citizen,245,33,False,True,False,False,13,3,15,33,8,3,False,True,False,True
ISS_20250613034004_4786,2023-08-05 01:49:00,Verkehr,"Die Bushaltestelle an der Dorfstraße hat seit Monaten kein Wartehäuschen mehr, bei dem schlechten Wetter stehen wir völlig im Regen. Besonders für ältere Leute und Familien mit Kindern ist das unzumutbar.",Altmärkische Höhe,Gemeinde,Sachsen-Anhalt,25-34,female,citizen,204,31,True,False,False,False,1,5,5,31,8,3,True,False,False,False
ISS_20250613033733_8836,2023-09-15 00:45:00,Digitalisierung,"Das Online-Portal der Stadt ist ständig überlastet und stürzt ab, wenn man Anträge stellen will. Warum muss ich für jeden Behördengang noch persönlich vorbeikommen, obwohl andere Städte längst digitale Services anbieten?",Damme,Stadt,Niedersachsen,25-34,female,citizen,220,31,False,False,False,False,0,4,15,37,9,3,False,False,False,False
ISS_20250613034238_9282,2023-12-13 19:33:00,Bildung,"Die Deutschkurse für Erwachsene an der Volkshochschule sind völlig überfüllt und es gibt monatelange Wartelisten. Als EU-Bürger brauche ich dringend bessere Sprachkenntnisse für meinen Job, aber die Stadt bietet viel zu wenige Plätze an.",Breisach am Rhein,Stadt,Baden-Württemberg,25-34,male,migrant_eu,237,34,False,True,False,False,19,2,13,50,12,4,False,False,False,False
ISS_20250613033932_9719,2024-12-19 15:17:00,Digitalisierung,"Das Online-Portal der Gemeinde ist ständig überlastet und man kann keine Termine für das Bürgerbüro buchen. Wenn man endlich durchkommt, stürzt die Seite ab und man muss von vorne anfangen - das ist wirklich nervig!",Winsen (Aller),Gemeinde,Niedersachsen,25-34,female,citizen,215,35,False,False,False,False,15,3,19,51,12,4,False,True,False,True
ISS_20250613033706_6474,2024-09-26 12:07:00,Sicherheit,Der Fußweg entlang der Langgasse ist abends völlig unbeleuchtet und durch herumliegende Äste nach dem letzten Sturm kaum passierbar. Als Frau fühle ich mich dort unsicher und bin schon zweimal gestolpert.,Weilmünster,Gemeinde,Hessen,25-34,female,citizen,204,31,False,False,False,False,12,3,26,39,9,3,False,True,True,True
ISS_20250613034033_9709,2024-12-11 04:07:00,Wirtschaft,"Die örtlichen Geschäfte in Jürgenshagen schließen eins nach dem anderen, weil keine Nachfolger gefunden werden. Unsere Gemeinde braucht dringend Unterstützung für kleine Betriebe, sonst müssen wir bald für alles nach Schwerin fahren.",Jürgenshagen,Gemeinde,Mecklenburg-Vorpommern,45-54,female,citizen,233,32,False,False,False,False,4,2,11,50,12,4,False,False,False,False
ISS_20250613034009_4524,2025-05-19 21:02:00,Wirtschaft,"Die Jugendarbeitslosigkeit in Wustrow ist viel zu hoch und es gibt kaum Ausbildungsplätze für junge Leute wie mich. Viele meiner Freunde sind nach der Schule weggezogen, weil hier einfach keine beruflichen Perspektiven existieren.",Wustrow,Gemeinde,Mecklenburg-Vorpommern,18-24,male,citizen,230,33,False,True,False,False,21,0,19,21,5,2,False,False,False,False
ISS_20250613034211_1473,2025-02-05 14:40:00,Wirtschaft,"Die Gewerbesteuer für kleine Betriebe in Essen ist viel zu hoch im Vergleich zu anderen Städten im Ruhrgebiet. Mein Friseursalon kann sich die Abgaben kaum noch leisten, während in Bochum die Sätze deutlich niedriger sind.",Essen,Stadt,Nordrhein-Westfalen,45-54,female,citizen,222,35,False,False,False,False,14,2,5,6,2,1,False,True,False,True
ISS_20250613033828_9986,2024-06-30 10:18:00,Wirtschaft,"Die Geschäfte in der Innenstadt schließen reihenweise, weil die Mieten zu hoch sind und keine Kunden mehr kommen. Als Rentnerin muss ich jetzt zum Einkaufen in die nächste Stadt fahren, weil hier nichts mehr da ist.",Goch,Stadt,Nordrhein-Westfalen,65+,female,citizen,215,36,False,False,False,False,10,6,30,26,6,2,True,True,True,False
ISS_20250613033805_9520,2024-01-17 09:45:00,Umwelt,"Die Mülltrennung in unserem Wohnblock funktioniert nicht richtig. Viele Nachbarn werfen alles zusammen in die Tonnen und es stinkt furchtbar. Die Stadt sollte mehr Aufklärung machen oder öfter kontrollieren, damit wir alle sauberer leben können.",Wittenberg,Stadt,Sachsen-Anhalt,55-64,male,migrant_non_eu,245,35,False,False,True,False,9,2,17,3,1,1,False,True,True,False
ISS_20250613033923_8596,2023-08-26 11:31:00,Gesundheit,"Die Wartezeit beim Hausarzt in Isterberg ist unmöglich geworden - drei Wochen für einen normalen Termin! Als älterer Mensch mit Bluthochdruck kann ich nicht so lange warten, und der nächste Arzt ist 20 Kilometer entfernt.",Isterberg,Gemeinde,Niedersachsen,55-64,male,migrant_non_eu,221,35,False,False,False,True,11,5,26,34,8,3,True,True,True,False
ISS_20250613033838_9641,2024-08-03 09:07:00,Bildung,"Die Computerkurse für Senioren im Gemeindezentrum wurden ohne Ankündigung gestrichen. Wir älteren Bürger brauchen dringend Hilfe beim Umgang mit digitalen Behördengängen und Online-Terminen, aber es gibt keine Alternativen in Pinzberg.",Pinzberg,Gemeinde,Bayern,65+,male,citizen,235,30,False,False,False,False,9,5,3,31,8,3,True,True,True,False
ISS_20250613034131_7892,2023-01-04 03:00:00,Umwelt,Die Mülltonne an der Bushaltestelle Kirchstraße ist schon seit drei Wochen kaputt und überquillt. Der Gestank wird immer schlimmer und meine Enkelkinder müssen jeden Tag daran vorbei zur Schule.,Vettweiß,Gemeinde,Nordrhein-Westfalen,65+,female,migrant_non_eu,194,29,True,True,True,False,3,2,4,1,1,1,False,False,False,False
ISS_20250613033923_4951,2024-08-14 13:38:00,Bildung,"Die Kita meines Sohnes hat schon wieder wochenlang geschlossen, weil Erzieherinnen krank sind. Es kann nicht sein, dass berufstätige Eltern ständig Urlaub nehmen müssen, weil die Stadt zu wenig Personal einstellt.",Horn-Bad Meinberg,Stadt,Nordrhein-Westfalen,25-34,female,citizen,213,31,False,True,False,False,13,2,14,33,8,3,False,True,False,True
ISS_20250613034248_7899,2023-03-14 20:33:00,Umwelt,"Die Mülltrennung in unserem Studentenwohnheim funktioniert überhaupt nicht - es gibt nur einen Container für alles und der Hausmeister sagt, das sei normal. Können Sie uns bitte richtige Mülltonnen für Papier, Plastik und Restmüll aufstellen?",Burglengenfeld,Stadt,Bayern,18-24,male,migrant_eu,242,35,False,False,True,False,20,1,14,11,3,1,False,False,False,False
ISS_20250613033841_9097,2025-03-13 10:49:00,Umwelt,"Die Mülltrennung in unserem Wohngebiet funktioniert nicht richtig - die gelben Säcke werden oft tagelang nicht abgeholt und der Wind verteilt den Müll überall. Das sieht nicht nur schlecht aus, sondern lockt auch Ungeziefer an.",Großschirma,Stadt,Sachsen,55-64,male,migrant_eu,227,35,False,False,True,False,10,3,13,11,3,1,False,True,True,False
ISS_20250613034237_5077,2023-04-19 11:01:00,Umwelt,"Der Grünschnitt in unserem Wohngebiet wird seit über einem Monat nicht mehr abgeholt. Die Container quellen über und es stinkt furchtbar, besonders bei dem warmen Wetter. Wann wird das endlich wieder regelmäßig gemacht?",Schlüchtern,Stadt,Hessen,25-34,male,migrant_eu,219,33,False,False,True,False,11,2,19,16,4,2,False,True,True,False
ISS_20250613034046_6668,2024-10-28 10:52:00,Wirtschaft,Die Gewerbesteuer für kleine Betriebe in Gronau ist viel zu hoch im Vergleich zu Nachbarstädten. Dadurch wandern Unternehmen ab und wir verlieren Arbeitsplätze - das schadet unserer ganzen Region wirtschaftlich.,Gronau (Leine),Stadt,Niedersachsen,35-44,male,citizen,211,30,False,False,False,False,10,0,28,44,10,4,False,True,True,False
ISS_20250613034123_4277,2024-06-24 14:00:00,Migration,"Die Bearbeitung meines Antrags auf Familienzusammenführung dauert bereits acht Monate ohne jede Rückmeldung vom Ausländeramt. Meine Frau wartet in der Türkei und wir brauchen endlich eine Antwort, wie es weitergeht.",Mertendorf,Gemeinde,Sachsen-Anhalt,45-54,male,citizen,215,30,False,False,False,False,14,0,24,26,6,2,False,True,False,True
ISS_20250613033926_1329,2023-01-30 10:45:00,Verkehr,"Die Durchfahrt durch die Altstadt ist für Lastwagen viel zu eng - ständig bleiben Lkw in der Kirchgasse stecken und blockieren den ganzen Verkehr. Kann endlich ein Durchfahrtsverbot für Fahrzeuge über 7,5 Tonnen eingerichtet werden?",Hofheim i.UFr.,Stadt,Bayern,45-54,female,citizen,232,35,False,False,False,False,10,0,30,5,1,1,False,True,True,False
ISS_20250613034255_6813,2024-03-25 11:21:00,Gesundheit,"Die Wartezeit beim Hausarzt in Rott ist untragbar - drei Wochen für einen normalen Termin! Als EU-Bürger zahle ich hier Steuern und erwarte eine angemessene medizinische Versorgung, besonders in meinem Alter brauche ich regelmäßige Kontrollen.",Rott,Gemeinde,Rheinland-Pfalz,55-64,male,migrant_eu,243,35,False,False,False,True,11,0,25,13,3,1,False,True,True,False
ISS_20250613033933_6055,2023-06-02 08:48:00,Verkehr,"Die Bushaltestelle an der Grünthaler Straße hat seit Monaten kein Wartehäuschen mehr, und bei diesem Wetter stehen wir im Regen. Besonders für ältere Fahrgäste ist das unzumutbar - bitte sorgen Sie endlich für Ersatz.",Olbernhau,Stadt,Sachsen,45-54,diverse,migrant_eu,217,34,True,False,True,False,8,4,2,22,6,2,False,True,True,False
ISS_20250613033929_6638,2024-07-05 09:03:00,Bildung,"An der örtlichen Grundschule fällt seit Wochen regelmäßig der Sportunterricht aus, weil die Turnhalle wegen Wasserschäden gesperrt ist. Mein Kind und die anderen Schüler verpassen dadurch wichtige Bewegung und es gibt keinen Ersatzunterricht.",Niefern-Öschelbronn,Gemeinde,Baden-Württemberg,35-44,female,citizen,242,33,False,True,False,False,9,4,5,27,7,3,False,True,True,False
ISS_20250613034214_7984,2024-03-05 08:02:00,Gesundheit,"Die Wartezeit beim Hausarzt in Sundern ist unmöglich geworden - drei Wochen für einen normalen Termin! Meine Kinder waren krank und ich musste ins Nachbardorf fahren, weil hier kein Arzt Zeit hatte.",Sundern (Sauerland),Stadt,Nordrhein-Westfalen,35-44,male,citizen,198,32,False,False,False,True,8,1,5,10,3,1,False,True,True,False
ISS_20250613033812_7619,2025-01-04 07:43:00,Bildung,Die Schule meines Sohnes hat schon wieder zwei Tage wegen Heizungsausfall geschlossen. Das ist diesen Winter bereits das dritte Mal - so kann mein Kind nicht richtig lernen und ich muss ständig kurzfristig die Arbeit verlassen.,Marktschorgast,Gemeinde,Bayern,25-34,male,citizen,227,36,False,True,False,False,7,5,4,1,1,1,True,False,True,False
ISS_20250613034114_1192,2025-02-22 19:13:00,Wirtschaft,Die Gewerbesteuer für kleine Betriebe in Feilitzsch ist viel zu hoch im Vergleich zu Nachbargemeinden. Dadurch wandern Unternehmen ab und wir verlieren Arbeitsplätze. Das schadet der ganzen Region und muss dringend angepasst werden.,Feilitzsch,Gemeinde,Bayern,45-54,male,citizen,232,33,False,False,False,False,19,5,22,8,2,1,True,False,False,False
ISS_20250613034240_2123,2023-06-04 13:07:00,Bildung,"Die Kita in Lieser hat seit Monaten zu wenig Personal - mein Sohn wird oft früher abgeholt, weil Erzieherinnen fehlen. Das macht es unmöglich, Vollzeit zu arbeiten, und andere Eltern haben das gleiche Problem.",Lieser,Gemeinde,Rheinland-Pfalz,25-34,female,citizen,209,34,False,True,False,False,13,6,4,22,6,2,True,True,False,True
ISS_20250613033758_9173,2023-03-02 09:34:00,Gesundheit,"Die Wartezeit beim Hausarzt in Breitbrunn beträgt mittlerweile über drei Wochen für einen normalen Termin. Als Student ohne Auto ist es unmöglich, rechtzeitig einen Arzt in den Nachbargemeinden zu erreichen, wenn man krank ist.",Breitbrunn,Gemeinde,Bayern,18-24,diverse,citizen,227,34,False,False,False,True,9,3,2,9,3,1,False,True,True,False
ISS_20250613034204_3794,2024-12-31 09:45:00,Gesundheit,"Die Wartezeit beim Hausarzt hier in Neuenkirchen beträgt mittlerweile über drei Wochen für einen normalen Termin. Für berufstätige Mütter wie mich ist das untragbar, besonders wenn die Kinder krank sind und schnell behandelt werden müssen.",Neuenkirchen,Gemeinde,Niedersachsen,35-44,female,citizen,239,35,False,False,False,True,9,1,31,1,12,4,False,True,True,False
ISS_20250613033925_1291,2023-09-16 02:17:00,Verkehr,"Die Bushaltestelle an der Hauptstraße hat seit Monaten kein Wartehäuschen mehr, und bei Regen stehen die Fahrgäste völlig im Nassen. Besonders für ältere Leute wie mich ist das ein Problem, wenn man länger auf den Bus warten muss.",Daleiden,Gemeinde,Rheinland-Pfalz,55-64,female,citizen,230,38,True,False,False,False,2,5,16,37,9,3,True,False,False,False
ISS_20250613034216_7192,2023-05-04 21:18:00,Migration,"Die Sprachkurse für Migranten in unserem Stadtteil sind völlig überfüllt. Meine Nachbarn warten seit Monaten auf einen Platz und können deshalb nicht richtig Deutsch lernen, was die Integration sehr erschwert.",Wörth am Rhein,Stadt,Rheinland-Pfalz,55-64,male,citizen,209,30,False,False,False,False,21,3,4,18,5,2,False,False,False,False
ISS_20250613034053_7650,2024-04-18 06:00:00,Digitalisierung,"Das Online-Portal der Stadt funktioniert seit Tagen nicht richtig - ich kann meinen Wohnsitz nicht ummelden und bekomme ständig Fehlermeldungen. Als junger Mensch erwarte ich, dass digitale Behördengänge endlich funktionieren.",Beeskow,Stadt,Brandenburg,18-24,male,citizen,226,30,False,False,False,False,6,3,18,16,4,2,False,False,True,False
ISS_20250613034257_4333,2023-05-31 08:50:00,Sicherheit,"Die Straßenbeleuchtung in der Dorfstraße ist seit Wochen kaputt, wodurch der Weg zur Bushaltestelle abends völlig dunkel ist. Als alleinstehende Frau fühle ich mich sehr unsicher und bitte um schnelle Reparatur der Lampen.",Löwenberger Land,Gemeinde,Brandenburg,25-34,female,citizen,222,33,True,False,False,False,8,2,31,22,5,2,False,True,True,False
ISS_20250613034117_6808,2024-04-24 17:53:00,Gesundheit,"Die Wartezeit für einen Facharzttermin beim Orthopäden hier in Burbach beträgt über vier Monate. Meine Rückenschmerzen verschlimmern sich täglich, aber ich bekomme einfach keinen Termin - das kann doch nicht normal sein!",Burbach,Gemeinde,Nordrhein-Westfalen,35-44,female,citizen,220,32,False,False,False,True,17,2,24,17,4,2,False,True,False,True
ISS_20250613034202_4566,2025-01-14 18:32:00,Migration,Die Bearbeitung meines Antrags auf Familienzusammenführung dauert bereits acht Monate ohne jede Rückmeldung. Meine Frau wartet in der Heimat und wir brauchen endlich eine Antwort oder wenigstens Informationen zum aktuellen Stand des Verfahrens.,Alt Bukow,Gemeinde,Mecklenburg-Vorpommern,25-34,male,citizen,244,33,False,False,False,False,18,1,14,3,1,1,False,False,False,True
ISS_20250613034124_3209,2024-02-02 02:36:00,Bildung,"Meine Enkelin besucht die Martini-Grundschule in Greven und erzählt mir ständig, dass Musikstunden ausfallen, weil kein Lehrer da ist. Das ist doch kein Zustand - die Kinder haben ein Recht auf ordentlichen Unterricht in allen Fächern!",Greven,Stadt,Nordrhein-Westfalen,55-64,female,citizen,235,36,False,True,False,False,2,4,2,5,2,1,False,False,False,False
ISS_20250613034133_2193,2024-03-28 15:52:00,Wirtschaft,"Die Baustelle am Neuen Wall blockiert seit Monaten den Zugang zu den Geschäften und viele Läden verlieren Kunden. Als Anwohner sehe ich täglich, wie die lokale Wirtschaft leidet - wann wird endlich eine Lösung gefunden?",Hamburg,Stadt,Hamburg,55-64,male,citizen,219,35,False,False,False,False,15,3,28,13,3,1,False,True,False,True
ISS_20250613034011_6690,2024-02-02 02:33:00,Sicherheit,"Die Straßenbeleuchtung in der Wallfahrtstraße ist seit drei Wochen kaputt, wodurch der Gehweg abends völlig dunkel ist. Als Anwohner mache ich mir Sorgen um die Sicherheit, besonders für ältere Mitbürger und Kinder auf dem Schulweg.",Triberg im Schwarzwald,Stadt,Baden-Württemberg,45-54,male,citizen,232,35,True,False,False,False,2,4,2,5,2,1,False,False,False,False
ISS_20250613034001_7078,2024-10-25 02:20:00,Verkehr,"Die Hauptstraße durch Neu Gülze ist voller Schlaglöcher und kaum noch befahrbar. Besonders vor der Dorfkirche ist die Straße so kaputt, dass man mit dem Auto nur im Schritttempo fahren kann - das muss dringend repariert werden.",Neu Gülze,Gemeinde,Mecklenburg-Vorpommern,35-44,male,citizen,227,37,True,False,False,False,2,4,25,43,10,4,False,False,False,False
ISS_20250613034137_5977,2025-02-04 16:32:00,Wirtschaft,"Die Jobcenter-Beratung für Wiedereinstieg nach Familienzeit ist völlig unzureichend. Meine Qualifikationen aus dem Ausland werden nicht anerkannt und ich bekomme keine Unterstützung für Weiterbildungen, obwohl ich arbeiten möchte.",Galenbeck,Gemeinde,Mecklenburg-Vorpommern,55-64,female,migrant_non_eu,230,28,False,False,False,False,16,1,4,6,2,1,False,True,False,True
ISS_20250613033723_5933,2023-08-20 03:49:00,Gesundheit,"Die Wartezeit beim Hausarzt in Spremberg ist unzumutbar - drei Wochen für einen normalen Termin! Besonders für Berufstätige ist das ein Problem, da die Sprechzeiten sehr begrenzt sind und man ständig Arbeitszeit verlieren muss.",Spremberg,Stadt,Brandenburg,25-34,male,citizen,227,34,False,False,False,True,3,6,20,33,8,3,True,False,False,False
ISS_20250613034134_2875,2023-09-22 00:48:00,Umwelt,Die Mülleimer im Stadtpark sind seit über einer Woche überfüllt und der Abfall liegt überall verstreut herum. Besonders am Spielplatz ist es unhygienisch für die Kinder und lockt bereits Ungeziefer an.,Arzberg,Gemeinde,Sachsen,25-34,female,citizen,201,31,False,False,True,False,0,4,22,38,9,3,False,False,False,False
ISS_20250613034121_6654,2023-04-22 03:52:00,Verkehr,"Die Bushaltestelle an der Dorfstraße hat kein Wartehäuschen und bei Regen stehen die Leute im Wasser. Besonders für ältere Bürger ist das unzumutbar, wenn der Bus mal wieder 20 Minuten Verspätung hat.",Dummerstorf,Gemeinde,Mecklenburg-Vorpommern,25-34,male,citizen,200,32,True,False,False,False,3,5,22,16,4,2,True,False,False,False
ISS_20250613033859_3367,2024-12-01 12:23:00,Sicherheit,"Der Fußweg entlang der Elbe ist abends völlig unbeleuchtetet und durch kaputte Gehwegplatten gefährlich. Mehrere Senioren sind dort bereits gestürzt, aber passiert ist bisher nichts zur Verbesserung der Situation.",Tangerhütte,Stadt,Sachsen-Anhalt,45-54,male,citizen,213,29,False,False,False,False,12,6,1,48,12,4,True,True,True,True
ISS_20250613034202_6940,2024-07-18 06:12:00,Bildung,"Die Schulbusse in Ehra-Lessien kommen regelmäßig 10-15 Minuten zu spät, wodurch mein Sohn bereits mehrfach den Unterrichtsbeginn verpasst hat. Das kann so nicht weitergehen - die Kinder haben ein Recht auf pünktlichen Transport zur Schule.",Ehra-Lessien,Gemeinde,Niedersachsen,45-54,male,citizen,239,35,True,True,False,False,6,3,18,29,7,3,False,False,True,False
